id,source_id,season_label,season,season_type,start_date,start_time_tbd,neutral_site,conference_game,game_type,tournament,game_notes,status,home_team_id,home_team,home_conference_id,home_conference,home_seed,away_team_id,away_team,away_conference_id,away_conference,away_seed,venue_id,venue,city,state,home_rating,away_rating,proj_margin,proj_winner
212080,401814601,20252026,2026,regular,2026-03-07T02:00:00.000000,false,false,true,STD,,,scheduled,215,Ohio,17,MAC,,167,Miami (OH),17,MAC,,309,Convocation Center (OH),Athens,OH,-4.519583554075439,5.695632346677456,7.215215900752895,Miami (OH)
372252,401851534,20252026,2026,regular,2026-03-08T02:00:00.000000,false,true,true,TRNMNT,,OVC Championship - Final,scheduled,290,Tennessee State,22,OVC,,181,Morehead State,22,OVC,,296,Ford Center,Evansville,IN,1.1530100281308933,1.7598787263873419,0.6068686982564486,Morehead State
372414,401851316,20252026,2026,regular,2026-03-14T00:00:00.000000,false,true,true,TRNMNT,,Big East Tournament - Semifinal,scheduled,314,UConn,7,Big East,,97,Georgetown,7,Big East,,371,Madison Square Garden,New York,NY,11.391042445873566,1.7164210327464957,-9.67462141312707,UConn
372194,401851326,20252026,2026,regular,2026-03-08T03:00:00.000000,false,true,true,TRNMNT,,Big Sky Championship - 1st Round,scheduled,117,Idaho,8,Big Sky,,249,Sacramento State,8,Big Sky,,415,Idaho Central Arena,Boise,ID,1.6758806969613147,-5.552412578032985,-7.2282932749943,Idaho
372312,401851312,20252026,2026,regular,2026-03-12T18:30:00.000000,false,true,true,TRNMNT,,Big East Tournament - Quarterfinal,scheduled,263,Seton Hall,7,Big East,,61,Creighton,7,Big East,,371,Madison Square Garden,New York,NY,4.220042017730634,-0.022373614233885064,-4.242415631964519,Seton Hall
372298,401851308,20252026,2026,regular,2026-03-11T20:00:00.000000,false,true,true,TRNMNT,,Big East Tournament - 1st Round,scheduled,34,Butler,7,Big East,,235,Providence,7,Big East,,371,Madison Square Garden,New York,NY,0.5826071530988912,-1.9021493701896048,-2.484756523288496,Butler
372356,401851293,20252026,2026,regular,2026-03-11T23:00:00.000000,false,true,true,TRNMNT,,Phillips 66 Big 12 Tournament - 2nd Round,scheduled,347,West Virginia,6,Big 12,,18,BYU,6,Big 12,,394,T-Mobile Center,Kansas City,MO,5.502294297250188,2.1324365391071183,-3.3698577581430698,West Virginia
372261,401851474,20252026,2026,regular,2026-03-13T00:00:00.000000,false,true,true,TRNMNT,,MEAC Tournament - Quarterfinal,scheduled,199,North Carolina Central,18,MEAC,,159,Maryland Eastern Shore,18,MEAC,,479,Norfolk Scope Arena,Norfolk,VA,-6.577330961704547,-1.3775269937797816,5.199803967924765,Maryland Eastern Shore
215210,401827727,20252026,2026,regular,2026-03-07T19:00:00.000000,false,false,true,STD,,,scheduled,131,Kansas,6,Big 12,,132,Kansas State,6,Big 12,,1,Allen Fieldhouse,Lawrence,KS,4.495642248816367,-3.894548669781514,-11.390190918597881,Kansas
372424,401851738,20252026,2026,regular,2026-03-14T03:30:00.000000,false,true,true,TRNMNT,,WAC Tournament - Semifinal,scheduled,39,California Baptist,30,WAC,,330,Utah Tech,30,WAC,,434,Orleans Arena,Las Vegas,NV,4.875416665041556,-1.0668895181804743,-5.94230618322203,California Baptist
372243,401851352,20252026,2026,regular,2026-03-07T19:30:00.000000,false,true,true,TRNMNT,,Big South Championship - Semifinal,scheduled,354,Winthrop,9,Big South,,233,Presbyterian,9,Big South,,72,Freedom Hall (TN),Johnson City,TN,3.6421141159834605,-0.675856540286432,-4.3179706562698925,Winthrop
372207,401851198,20252026,2026,regular,2026-03-07T18:00:00.000000,false,false,true,TRNMNT,,America East Playoffs - Quarterfinal,scheduled,317,UMBC,4,Am. East,,190,New Hampshire,4,Am. East,,24,Chesapeake Employers Insurance Arena,Baltimore,MD,4.132269244929034,-9.417157387894008,-16.549426632823042,UMBC
372338,401851716,20252026,2026,regular,2026-03-10T18:00:00.000000,false,true,true,TRNMNT,,SWAC Tournament - 2nd Round,scheduled,232,Prairie View A&M,25,SWAC,,7,Alcorn State,25,SWAC,,529,Gateway Center,College Park,GA,-5.997719189161131,-10.820952423906306,-4.8232332347451745,Prairie View A&M
215232,401820790,20252026,2026,regular,2026-03-07T19:00:00.000000,false,false,true,STD,,,scheduled,168,Miami,2,ACC,,150,Louisville,2,ACC,,80,Watsco Center,Coral Gables,FL,7.509606523460036,8.866455310377319,-1.6431512130827173,Miami
372223,401851519,20252026,2026,regular,2026-03-07T19:00:00.000000,false,false,true,TRNMNT,,Northeast Conference Tournament - Semifinal,scheduled,146,Long Island University,21,NEC,,341,Wagner,21,NEC,,293,Steinberg Wellness Center,Brooklyn,NY,2.259945635770862,-0.09496613267158693,-5.354911768442449,Long Island University
372328,401851759,20252026,2026,regular,2026-03-10T01:00:00.000000,false,true,true,TRNMNT,,West Coast Conference Tournament - Semifinal,scheduled,102,Gonzaga,31,WCC,,224,Oregon State,31,WCC,,434,Orleans Arena,Las Vegas,NV,10.666073549902947,0.49031747425529204,-10.175756075647655,Gonzaga
372377,401851300,20252026,2026,regular,2026-03-12T23:00:00.000000,false,true,true,TRNMNT,,Phillips 66 Big 12 Tournament - Quarterfinal,scheduled,113,Houston,6,Big 12,,18,BYU,6,Big 12,,394,T-Mobile Center,Kansas City,MO,11.95173128612457,2.1324365391071183,-9.819294747017452,Houston
372188,401851464,20252026,2026,regular,2026-03-08T01:30:00.000000,false,true,true,TRNMNT,,MAAC Championship - Quarterfinal,scheduled,264,Siena,16,MAAC,,183,Mount St. Mary's,16,MAAC,,478,Jim Whelan Boardwalk Hall,Atlantic City,NJ,7.65705576663828,1.1474706907755206,-6.509585075862759,Siena
215225,401822974,20252026,2026,regular,2026-03-07T17:00:00.000000,false,false,true,STD,,,scheduled,338,Villanova,7,Big East,,359,Xavier,7,Big East,,140,Finneran Pavilion,Villanova,PA,5.897200198224894,-4.270502728615966,-13.16770292684086,Villanova
372336,401851370,20252026,2026,regular,2026-03-12T01:00:00.000000,false,true,true,TRNMNT,,Big Ten Tournament - 2nd Round,scheduled,173,Minnesota,10,Big Ten,,245,Rutgers,10,Big Ten,,449,United Center,Chicago,IL,4.512017927869493,-5.076276996453984,-9.588294924323478,Minnesota
372196,401851604,20252026,2026,regular,2026-03-09T00:30:00.000000,false,true,true,TRNMNT,,Southland Tournament - 1st Round,scheduled,195,Nicholls,27,Southland,,211,Northwestern State,27,Southland,,260,Legacy Center,Lake Charles,LA,-3.6737450869424606,-2.102191976564015,1.5715531103784457,Northwestern State
